x,y,theta
8.093843460083008,-0.11884599924087524,0.0
9.218330383300781,0.08623301982879639,0.7750754607481769
9.720638275146484,1.624742031097412,1.573551383079663
9.657744407653809,4.69558048248291,1.5449574810887163
9.757936477661133,7.169334411621094,1.6171133611435717
9.198953628540039,8.293841361999512,2.50562272654423
7.657891273498535,8.615153312683105,3.109724392875384
4.768221855163574,8.667703628540039,3.1328516857521955
1.4822371006011963,8.677711486816406,-3.1314656775087526
-1.663832664489746,8.657901763916016,-3.1301750802358788
-4.877527236938477,8.632316589355469,3.1372139201244473
-8.053007125854492,8.664908409118652,3.136019049951529
-10.740623474121094,8.66724967956543,3.1380949987684748
-12.393075942993164,8.633191108703613,-3.1353919470826037
-13.393603324890137,8.043139457702637,-2.33400307662227
-13.684870719909668,6.7554030418396,-1.5336235348393599
-13.649415969848633,3.824777603149414,-1.599694222827244
-13.624117851257324,1.1493759155273438,-1.5587855836145035
-13.080740928649902,0.038601577281951904,-0.9162906032375856
-11.456729888916016,-0.1386164277791977,0.0
-8.553754806518555,-0.20987370610237122,0.0
-5.54341459274292,-0.09581440687179565,0.0
-2.619154453277588,-0.18068760633468628,0.0
0.12060761451721191,-0.20759764313697815,0.0
2.8100147247314453,-0.18320366740226746,0.0
4.691605091094971,-0.15327145159244537,0.0
6.649242401123047,-0.10779602825641632,0.0
