x,y,z,,,
0.0135148,0.122587,-7.05718994140625E-05,,,
1.00794509500488,0.063699141873932,0.003097534179688,0.994430295004882,,-0.058887858126068
2.00237539000976,0.004811283747864,0.003097534179688,,,
2.99680568501465,-0.054076574378205,0.003097534179688,,,
3.99123598001953,-0.112964432504273,0.003097534179688,,,
4.98566627502441,-0.171852290630341,0.003097534179688,,,
8.35,3.43636918067932,0.004316329956055,,,
8.385218,4.58288934454346,0.004316329956055,0.035218,,1.14652016386414
8.420436,5.72940950840759,0.004316329956055,,,
8.455654,6.87592967227173,0.004316329956055,,,
8.490872,8.02244983613586,0.004316329956055,,,
8.52609,9.16897,0.003009796142578,,,
8.14392,9.80728,0.003009796142578,,,
6.85378,10.165,0.004644393920898,,,
5.31743,9.06871,0.003408432006836,,,
4.30686,7.54788,0.005733489990234,,,
3.33466,5.56524,0.005498886108398,-1.16578759258271,,-1.496745
1.97528481483459,4.55439,0.005498886108398,,,
-0.385103,3.24652,0.0064697265625,,,
-0.919037,1.97674,0.0064697265625,,,
0.0135148,0.122587,-7.05718994140625E-05,,,
